record_id,subject_id,start_index,target_index,target_time
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,108,110,1110.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,109,111,1120.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,110,112,1130.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,111,113,1140.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,112,114,1150.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,113,115,1160.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,114,116,1170.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,115,117,1180.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,116,118,1190.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,117,119,1200.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,118,120,1210.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,119,121,1220.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,120,122,1230.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,121,123,1240.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,122,124,1250.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,123,125,1260.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,124,126,1270.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,125,127,1280.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,126,128,1290.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,127,129,1300.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,128,130,1310.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,129,131,1320.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,130,132,1330.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,131,133,1340.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,132,134,1350.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,133,135,1360.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,134,136,1370.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,135,137,1380.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,136,138,1390.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,137,139,1400.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,138,140,1410.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,139,141,1420.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,140,142,1430.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,141,143,1440.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,142,144,1450.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,143,145,1460.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,144,146,1470.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,145,147,1480.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,146,148,1490.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,147,149,1500.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,148,150,1510.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,149,151,1520.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,150,152,1530.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,151,153,1540.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,152,154,1550.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,153,155,1560.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,154,156,1570.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,155,157,1580.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,156,158,1590.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,157,159,1600.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,158,160,1610.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,159,161,1620.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,160,162,1630.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,161,163,1640.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,162,164,1650.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,163,165,1660.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,164,166,1670.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,165,167,1680.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,166,168,1690.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,167,169,1700.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,168,170,1710.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,169,171,1720.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,170,172,1730.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,171,173,1740.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,172,174,1750.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,173,175,1760.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,174,176,1770.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,175,177,1780.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,176,178,1790.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,177,179,1800.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,178,180,1810.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,179,181,1820.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,180,182,1830.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,181,183,1840.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,182,184,1850.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,183,185,1860.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,184,186,1870.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,185,187,1880.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,186,188,1890.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,187,189,1900.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,188,190,1910.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,189,191,1920.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,190,192,1930.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,191,193,1940.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,192,194,1950.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,193,195,1960.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,194,196,1970.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,195,197,1980.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,196,198,1990.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,197,199,2000.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,198,200,2010.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,199,201,2020.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,200,202,2030.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,201,203,2040.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,202,204,2050.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,203,205,2060.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,204,206,2070.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,205,207,2080.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,206,208,2090.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,207,209,2100.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,208,210,2110.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,209,211,2120.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,210,212,2130.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,211,213,2140.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,212,214,2150.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,213,215,2160.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,214,216,2170.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,215,217,2180.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,216,218,2190.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,217,219,2200.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,218,220,2210.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,219,221,2220.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,220,222,2230.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,221,223,2240.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,222,224,2250.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,223,225,2260.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,224,226,2270.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,225,227,2280.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,226,228,2290.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,227,229,2300.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,228,230,2310.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,229,231,2320.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,230,232,2330.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,231,233,2340.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,232,234,2350.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,233,235,2360.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,234,236,2370.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,235,237,2380.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,236,238,2390.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,237,239,2400.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,238,240,2410.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,239,241,2420.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,240,242,2430.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,241,243,2440.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,242,244,2450.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,243,245,2460.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,244,246,2470.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,245,247,2480.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,246,248,2490.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,247,249,2500.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,248,250,2510.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,249,251,2520.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,250,252,2530.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,251,253,2540.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,252,254,2550.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,253,255,2560.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,254,256,2570.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,255,257,2580.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,256,258,2590.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,257,259,2600.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,258,260,2610.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,259,261,2620.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,260,262,2630.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,261,263,2640.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,262,264,2650.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,263,265,2660.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,264,266,2670.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,265,267,2680.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,266,268,2690.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,267,269,2700.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,268,270,2710.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,269,271,2720.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,270,272,2730.0
Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,0001508a,271,273,2740.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,0,2,30.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,1,3,40.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,2,4,50.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,3,5,60.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,4,6,70.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,5,7,80.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,6,8,90.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,7,9,100.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,8,10,110.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,9,11,120.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,10,12,130.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,11,13,140.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,12,14,150.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,13,15,160.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,14,16,170.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,15,17,180.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,16,18,190.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,17,19,200.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,18,20,210.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,19,21,220.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,20,22,230.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,21,23,240.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,22,24,250.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,23,25,260.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,24,26,270.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,25,27,280.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,26,28,290.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,27,29,300.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,28,30,310.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,29,31,320.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,30,32,330.0
Old_EEG__0012905a__day1__2part__2023.11.28T12.51.55p03.00,0012905a,31,33,340.0
